Game Phase,Empty Spots,Depth,Nodes Expanded,Time Cost (s),Speed (Nodes/s)
Early Game,60,4,317,0.0056,57,042
,,5,1,713,0.0274,62,611
,,6,9,913,0.1529,64,831
Mid Game,40,5,408,016,8.1766,49,900
,,6,4,897,009,106.0343,46,183
,,7,62,563,437,1269.4804,49,282
Late Game,20,6,392,311,17.3599,22,598
,,7,3,662,595,119.7051,30,596
,,8,23,755,059,1104.5195,21,507
End Game,10,8,63,384,6.9625,9,103
,,10,183,674,38.2485,4,802
,,12,219,325,83.3811,2,630
